"year";"month";"season";"classif";"nb";"colr"
1985;1;"winter";1;0;1
1985;1;"winter";2;1;2
1985;1;"winter";3;1;3
1985;1;"winter";4;1;4
1985;2;"winter";1;1;1
1985;2;"winter";2;3;2
1985;2;"winter";3;2;3
1985;2;"winter";4;1;4
1985;3;"spring";1;0;5
1985;3;"spring";2;1;6
1985;3;"spring";3;3;7
1985;3;"spring";4;0;8
1985;4;"spring";1;0;5
1985;4;"spring";2;2;6
1985;4;"spring";3;0;7
1985;4;"spring";4;2;8
1985;5;"spring";1;1;5
1985;5;"spring";2;0;6
1985;5;"spring";3;2;7
1985;5;"spring";4;1;8
1985;6;"summer";1;0;13
1985;6;"summer";2;3;14
1985;6;"summer";3;1;15
1985;6;"summer";4;2;16
1985;7;"summer";1;2;13
1985;7;"summer";2;3;14
1985;7;"summer";3;3;15
1985;7;"summer";4;1;16
1985;8;"summer";1;0;13
1985;8;"summer";2;3;14
1985;8;"summer";3;6;15
1985;8;"summer";4;0;16
1985;9;"fall";1;0;9
1985;9;"fall";2;5;10
1985;9;"fall";3;5;11
1985;9;"fall";4;0;12
1985;10;"fall";1;0;9
1985;10;"fall";2;3;10
1985;10;"fall";3;4;11
1985;10;"fall";4;1;12
1985;11;"fall";1;0;9
1985;11;"fall";2;1;10
1985;11;"fall";3;1;11
1985;11;"fall";4;0;12
1985;12;"winter";1;2;1
1985;12;"winter";2;1;2
1985;12;"winter";3;0;3
1985;12;"winter";4;0;4
1986;1;"winter";1;1;1
1986;1;"winter";2;1;2
1986;1;"winter";3;2;3
1986;1;"winter";4;1;4
1986;2;"winter";1;1;1
1986;2;"winter";2;3;2
1986;2;"winter";3;4;3
1986;2;"winter";4;1;4
1986;3;"spring";1;0;5
1986;3;"spring";2;2;6
1986;3;"spring";3;3;7
1986;3;"spring";4;0;8
1986;4;"spring";1;0;5
1986;4;"spring";2;2;6
1986;4;"spring";3;1;7
1986;4;"spring";4;3;8
1986;5;"spring";1;2;5
1986;5;"spring";2;2;6
1986;5;"spring";3;6;7
1986;5;"spring";4;2;8
1986;6;"summer";1;0;13
1986;6;"summer";2;3;14
1986;6;"summer";3;4;15
1986;6;"summer";4;4;16
1986;7;"summer";1;2;13
1986;7;"summer";2;4;14
1986;7;"summer";3;7;15
1986;7;"summer";4;2;16
1986;8;"summer";1;0;13
1986;8;"summer";2;6;14
1986;8;"summer";3;8;15
1986;8;"summer";4;0;16
1986;9;"fall";1;1;9
1986;9;"fall";2;7;10
1986;9;"fall";3;9;11
1986;9;"fall";4;1;12
1986;10;"fall";1;1;9
1986;10;"fall";2;3;10
1986;10;"fall";3;7;11
1986;10;"fall";4;1;12
1986;11;"fall";1;0;9
1986;11;"fall";2;1;10
1986;11;"fall";3;3;11
1986;11;"fall";4;0;12
1986;12;"winter";1;2;1
1986;12;"winter";2;1;2
1986;12;"winter";3;1;3
1986;12;"winter";4;1;4
1987;1;"winter";1;1;1
1987;1;"winter";2;3;2
1987;1;"winter";3;4;3
1987;1;"winter";4;2;4
1987;2;"winter";1;1;1
1987;2;"winter";2;4;2
1987;2;"winter";3;5;3
1987;2;"winter";4;1;4
1987;3;"spring";1;0;5
1987;3;"spring";2;4;6
1987;3;"spring";3;5;7
1987;3;"spring";4;0;8
1987;4;"spring";1;0;5
1987;4;"spring";2;3;6
1987;4;"spring";3;1;7
1987;4;"spring";4;3;8
1987;5;"spring";1;2;5
1987;5;"spring";2;5;6
1987;5;"spring";3;8;7
1987;5;"spring";4;3;8
1987;6;"summer";1;0;13
1987;6;"summer";2;4;14
1987;6;"summer";3;5;15
1987;6;"summer";4;4;16
1987;7;"summer";1;3;13
1987;7;"summer";2;8;14
1987;7;"summer";3;9;15
1987;7;"summer";4;5;16
1987;8;"summer";1;0;13
