"date" "Streamflow" "Temperature" "Radiation" "RelativeHumidity" "Windspeed"
1969-01-01 NA NA NA NA NA
1969-01-02 NA NA NA NA NA
1969-01-03 NA NA NA NA NA
1969-01-04 NA NA NA NA NA
1969-01-05 NA NA NA NA NA
1969-01-06 NA NA NA NA NA
1969-01-07 NA NA NA NA NA
1969-01-08 NA NA NA NA NA
1969-01-09 NA NA NA NA NA
1969-01-10 NA NA NA NA NA
1969-01-11 NA NA NA NA NA
1969-01-12 NA NA NA NA NA
1969-01-13 NA NA NA NA NA
1969-01-14 NA NA NA NA NA
1969-01-15 NA NA NA NA NA
1969-01-16 NA NA NA NA NA
1969-01-17 NA NA NA NA NA
1969-01-18 NA NA NA NA NA
1969-01-19 NA NA NA NA NA
1969-01-20 NA NA NA NA NA
1969-01-21 NA NA NA NA NA
1969-01-22 NA NA NA NA NA
1969-01-23 NA NA NA NA NA
1969-01-24 NA NA NA NA NA
1969-01-25 NA NA NA NA NA
1969-01-26 NA NA NA NA NA
1969-01-27 NA NA NA NA NA
1969-01-28 NA NA NA NA NA
1969-01-29 NA NA NA NA NA
1969-01-30 NA NA NA NA NA
1969-01-31 NA NA NA NA NA
1969-02-01 NA NA NA NA NA
1969-02-02 NA NA NA NA NA
1969-02-03 NA NA NA NA NA
1969-02-04 NA NA NA NA NA
1969-02-05 NA NA NA NA NA
1969-02-06 NA NA NA NA NA
1969-02-07 NA NA NA NA NA
1969-02-08 NA NA NA NA NA
1969-02-09 NA NA NA NA NA
1969-02-10 NA NA NA NA NA
1969-02-11 NA NA NA NA NA
1969-02-12 NA NA NA NA NA
1969-02-13 NA NA NA NA NA
1969-02-14 NA NA NA NA NA
1969-02-15 NA NA NA NA NA
1969-02-16 NA NA NA NA NA
1969-02-17 NA NA NA NA NA
1969-02-18 NA NA NA NA NA
1969-02-19 NA NA NA NA NA
1969-02-20 NA NA NA NA NA
1969-02-21 NA NA NA NA NA
1969-02-22 NA NA NA NA NA
1969-02-23 NA NA NA NA NA
1969-02-24 NA NA NA NA NA
1969-02-25 NA NA NA NA NA
1969-02-26 NA NA NA NA NA
1969-02-27 NA NA NA NA NA
1969-02-28 NA NA NA NA NA
1969-03-01 NA NA NA NA NA
1969-03-02 NA NA NA NA NA
1969-03-03 NA NA NA NA NA
1969-03-04 NA NA NA NA NA
1969-03-05 NA NA NA NA NA
1969-03-06 NA NA NA NA NA
1969-03-07 NA NA NA NA NA
1969-03-08 NA NA NA NA NA
1969-03-09 NA NA NA NA NA
1969-03-10 NA NA NA NA NA
1969-03-11 NA NA NA NA NA
1969-03-12 NA NA NA NA NA
1969-03-13 NA NA NA NA NA
1969-03-14 NA NA NA NA NA
1969-03-15 NA NA NA NA NA
1969-03-16 NA NA NA NA NA
1969-03-17 NA NA NA NA NA
1969-03-18 NA NA NA NA NA
1969-03-19 NA NA NA NA NA
1969-03-20 NA NA NA NA NA
1969-03-21 NA NA NA NA NA
1969-03-22 NA NA NA NA NA
1969-03-23 NA NA NA NA NA
1969-03-24 NA NA NA NA NA
1969-03-25 NA NA NA NA NA
1969-03-26 NA NA NA NA NA
1969-03-27 NA NA NA NA NA
1969-03-28 NA NA NA NA NA
1969-03-29 NA NA NA NA NA
1969-03-30 NA NA NA NA NA
1969-03-31 NA NA NA NA NA
1969-04-01 NA NA NA NA NA
1969-04-02 NA NA NA NA NA
1969-04-03 NA NA NA NA NA
1969-04-04 NA NA NA NA NA
1969-04-05 NA NA NA NA NA
1969-04-06 NA NA NA NA NA
1969-04-07 NA NA NA NA NA
1969-04-08 NA NA NA NA NA
1969-04-09 NA NA NA NA NA
1969-04-10 NA NA NA NA NA
1969-04-11 NA NA NA NA NA
1969-04-12 NA NA NA NA NA
1969-04-13 NA NA NA NA NA
1969-04-14 NA NA NA NA NA
1969-04-15 NA NA NA NA NA
1969-04-16 NA NA NA NA NA
1969-04-17 NA NA NA NA NA
1969-04-18 NA NA NA NA NA
1969-04-19 NA NA NA NA NA
1969-04-20 NA NA NA NA NA
1969-04-21 NA NA NA NA NA
1969-04-22 NA NA NA NA NA
1969-04-23 NA NA NA NA NA
1969-04-24 NA NA NA NA NA
1969-04-25 NA NA NA NA NA
1969-04-26 NA NA NA NA NA
1969-04-27 NA NA NA NA NA
1969-04-28 NA NA NA NA NA
1969-04-29 NA NA NA NA NA
1969-04-30 NA NA NA NA NA
1969-05-01 NA NA NA NA NA
1969-05-02 NA NA NA NA NA
