"Year";"month";"SOI";"P";"Panomaly"
1876;"Jan";11.3;NA;NA
1876;"Feb";11;NA;NA
1876;"Mar";0.2;NA;NA
1876;"Apr";9.4;NA;NA
1876;"May";6.8;NA;NA
1876;"Jun";17.2;NA;NA
1876;"Jul";-5.6;NA;NA
1876;"Aug";12.3;NA;NA
1876;"Sep";10.5;NA;NA
1876;"Oct";-8;NA;NA
1876;"Nov";-2.7;NA;NA
1876;"Dec";-3;NA;NA
1877;"Jan";-9.7;NA;NA
1877;"Feb";-6.5;NA;NA
1877;"Mar";-4.7;NA;NA
1877;"Apr";-9.6;NA;NA
1877;"May";3.6;NA;NA
1877;"Jun";-16.8;NA;NA
1877;"Jul";-10.2;NA;NA
1877;"Aug";-8.2;NA;NA
1877;"Sep";-17.2;NA;NA
1877;"Oct";-16;NA;NA
1877;"Nov";-12.6;NA;NA
1877;"Dec";-12.6;NA;NA
1878;"Jan";-8.7;NA;NA
1878;"Feb";-21.1;NA;NA
1878;"Mar";-15.5;NA;NA
1878;"Apr";-8.8;NA;NA
1878;"May";2.1;NA;NA
1878;"Jun";-3.1;NA;NA
1878;"Jul";15.9;NA;NA
1878;"Aug";13;NA;NA
1878;"Sep";17.7;NA;NA
1878;"Oct";10.9;NA;NA
1878;"Nov";15.1;NA;NA
1878;"Dec";17.9;NA;NA
1879;"Jan";12.7;NA;NA
1879;"Feb";14.3;NA;NA
1879;"Mar";13.2;NA;NA
1879;"Apr";12.7;NA;NA
1879;"May";2.1;NA;NA
1879;"Jun";16.4;NA;NA
1879;"Jul";21.8;NA;NA
1879;"Aug";22.6;NA;NA
1879;"Sep";18.9;NA;NA
1879;"Oct";15.2;NA;NA
1879;"Nov";9.8;NA;NA
1879;"Dec";-5.5;NA;NA
1880;"Jan";10.8;NA;NA
1880;"Feb";7.7;NA;NA
1880;"Mar";14.3;NA;NA
1880;"Apr";5.3;NA;NA
1880;"May";12.3;NA;NA
1880;"Jun";9.1;NA;NA
1880;"Jul";1.6;NA;NA
1880;"Aug";14.3;NA;NA
1880;"Sep";8.1;NA;NA
