"ID";"River_station";"CatchmentArea_km2";"XLambert.II";"YLambert.II";"Elevation";"first_data";"last_data";"Lat";"Lon";"HER_Original";"XG";"YG";"HER_Clustered";"S";"P10";"DD";"Zmean";"name2"
"A2332110";"La Lièpvrette à Lièpvre";108;967752;2375048;260;1965;2010;48.27010648;7.29262106;4;961054.5;2372972.5;4;109.99995;64.81636;1095.41821;607.60907;"La Lièpvrette à Lièpvre"
"A3301010";"La Moder à Schweighouse-sur-Moder [aval]";622;996842;2438573;144;1966;2010;48.82270607;7.74226442;4;980865;2449727.25;4;654.99976;53.83789;851.94659;258.81833;"La Moder à Schweighouse-sur-Moder "
"A3832010";"Le Seltzbach à Niederroedern";202;1018642;2449140;120;1965;2010;48.90359499;8.04864885;18;1008798.5;2454092.25;4;201.00005;52.6688;1043.36816;189.80099;"Le Seltzbach à Niederroedern"
"A4050620";"La Moselle à Rupt-sur-Moselle";153;925001;2332341;432;1968;2010;47.90948677;6.68592558;4;933657.875;2330019.75;4;151.99992;98.34809;1194.34863;739.82239;"La Moselle à Rupt-sur-Moselle"
"A4200630";"LA MOSELLE à SAINT-NABORD [NOIR GUEUX]";621;918439;2349423;371;1961;2010;48.06610426;6.61069938;4;930534.125;2339943;4;617.99969;83.20319;1147.48706;715.08899;"La Moselle à Saint-Nabord "
"A4250640";"LA MOSELLE à ÉPINAL";1220;906099;2359835;324;1960;2010;48.16551516;6.45268715;4;927448.75;2347753.25;4;1188.00073;75.17554;1113.28369;647.27612;"La Moselle à Épinal"
"A5261010";"Le Madon à Mirecourt";382;881861;2373834;261;1965;2007;48.30219492;6.13637403;10;884051.625;2363562.5;10;368;54.31916;897.42389;341.57608;"Le Madon à Mirecourt"
"A5431010";"LE MADON à PULLIGNY";940;880252;2400790;225;1964;2010;48.54495388;6.13224899;10;881201.5;2376631.5;10;941.99957;52.66341;883.14758;329.82166;"Le Madon à Pulligny"
"A6051020";"La Meurthe à Saint-Dié";374;942720;2375131;335;1967;2010;48.28455096;6.95614061;4;948908.3125;2369390;4;382.00024;68.33013;1071.19629;634.41364;"La Meurthe à Saint-Dié"
"A7881010";"La Seille à Metz";1280;881329;2462728;163;1964;2010;49.10050176;6.18787856;10;902056.5;2436625.75;10;1313.99963;55.15582;1112.11877;237.61188;"La Seille à Metz "
"B2220010";"La Meuse a Saint-Mihiel";2540;834386;2435058;219;1968;2008;48.8709908;5.53063125;-9999;-9999;-9999;10;-9999;-9999;-9999;-9999;"La Meuse à Saint-Mihiel"
