lon;lat
148.9656;-35.3843
148.82125;-35.5917
149.06625;-35.574851
149.3498186;-35.61375
149.31625;-35.3367
149.10125;-35.539928
152.7135;-30.3073
153.0323;-30.2544
152.0083;-30.2603
152.6282;-30.0938
152.98;-30.07
151.8291;-31.1878
152.028857;-30.47635697
151.76625;-31.05125
151.7133;-30.681
152.4697;-31.4241
152.4478;-31.481
152.7404;-31.3326
152.2442;-31.3714
152.0956;-31.8981
152.31;-31.92
152.0746;-31.779
151.71625;-31.51625
151.31495;-31.57995
151.9;-31.77
152.5128;-31.7889
151.34;-31.56
151.7342;-31.6417
151.9778;-32.2453
151.96;-32.48
151.68805;-32.31945
151.0474;-32.1531
150.32;-32.42
151.2797;-31.9437
151.5117;-32.3078
150.57;-32.35
150.6349;-32.2708
150.9965;-32.0119
151.3593;-33.2724
151.3428;-33.3497
151.2734;-33.2198
149.5431;-34.6089
150.53375;-34.476507
150.24375;-33.94734
150.0329;-35.1471
150.1833;-34.8217
150.23625;-35.4681
150.0342;-35.714
149.51035;-36.26465
149.7606;-36.1975
149.6914;-36.2586
150;-36.13
149.44185;-36.59315
149.6469;-36.6674
149.54;-36.78
149.8094;-36.6
149.6842;-36.7319
149.8194;-36.9414
149.7125;-37.3719
149.0925;-36.9969
148.4033;-36.7936
148.1009;-35.9266
148.0519476;-36.31875
147.6917;-35.8972
146.975091;-35.91625
148.12;-36.04
147.93;-35.77
148.6855;-35.1672
148.9103;-34.8367
149.09;-36.17
148.2457;-35.0192
148.1616;-34.9319
147.6543;-35.1639
148.34845;-35.32905
148.06915;-35.33165
149.3485;-36.1793
148.73;-35.42
146.72;-35.69
149.1488;-35.7053
147.55;-35.35
149.5422;-35.2567
149.3252;-33.9548
148.8101;-34.1441
149.167269;-34.31125
149.5978;-34.1128
151.3624403;-30.4674403
151.1857;-30.2293
150.4281;-30.2081
150.7784993;-30.6784993
151.3448;-30.9669
151.1254;-31.0614
150.8259;-30.7054
150.9147;-31.2726
151.1694;-31.0396
149.2011;-31.3861
149.3103;-31.4197
148.9478;-32.6808
149.689;-33.0819
149.0598;-32.0939
148.5511;-32.7072
148.95;-33.03
148.4549;-32.1442
140.776;-37.09375
140.3622;-37.70343
140.6602382;-36.68875
139.0063;-35.2087
138.673371;-35.099129
138.75295;-34.87295
139.0584;-34.46375
138.63;-34.13
138.63;-33.61
138.5181;-33.5331
138.29;-32.09
136.6983;-35.95375
148.075;-42.0467
148.04;-42.1217
147.4533;-42.435
146.515;-42.4417
146.419606;-42.03125
146.7105482;-42.70695183
147.23674;-43.07076
146.84;-43.0367
145.95;-43.14125
145.767642;-42.24125
145.92875;-42.16375
145.67044;-41.41875
146.090026;-41.25125
145.8367;-41.06
145.2975395;-40.8725395
145.1183;-40.8733
146.13125;-41.6117
146.2154;-41.6894
146.5667;-41.2567
147.384339;-41.49375
147.5633;-41.8167
147.2033;-41.5983
148.0567;-41.5967
147.7267;-41.7883
147.11;-41.0667
149.2;-37.373
148.91375;-37.44713
149.49;-37.689
149.21;-37.356
149.51949;-37.41699
148.98;-37.44
148.9;-37.606
148.55;-37.512
148.17458;-37.49458
148.3267381;-36.95423808
148.36;-37.41
147.72875;-37.26772
147.17;-37.49
147.08875;-37.40625
147.27125;-37.49375
146.3185247;-37.68352468
146.43;-37.854
147.09;-37.812
146.56625;-37.5161
146.16;-38.089
146;-38.206
146.006515;-37.866515
146.19;-37.98
146.21;-38.176
146.53;-38.323
146.68;-38.538
145.99;-38.582
146.37;-38.64
145.72;-38.358
146.5551106;-38.46875
146.160585;-38.499415
145.95735;-38.39375
145.51;-38.467
145.71;-38.559
146.31;-38.63
145.9268;-37.63375
144.8;-37.632
144.524305;-37.471805
144.43;-37.63
144.36125;-37.49654621
144.25;-37.598
143.59;-37.809
143.64;-38.012
143.42;-38.354
143.66;-38.564
142.96;-38.445
143.44375;-38.63824
143.54;-38.535
143.26;-38.588
143.25;-38.7
143.57;-38.483
142.99;-38.448
142.48;-38.316
142.65;-38.346
143.4663717;-37.53112831
141.62;-38.126
141.77;-38.15
141.94;-38.258
141.66;-38.243
142.34;-37.631
142.50816;-37.37375
141.43;-37.496
141.48;-37.321
141.41;-37.87
142.37;-37.312
141.46;-37.98
147.6073683;-36.94763174
147.67782;-36.21375
147.413454;-36.56845402
147.828535;-36.446035
147.472475;-36.932475
147.7088361;-36.75616392
147.34;-36.213
146.9060831;-36.30375
147.044815;-36.540185
146.89375;-36.31636
146.876265;-36.386265
146.24375;-36.61953
146.81994;-36.57756
146.583225;-36.824275
146.60125;-36.31125
146.70125;-36.91068
146.45;-36.513
146.36188;-36.60562
146.97875;-36.75154
146.059025;-36.611525
145.5638538;-37.4138538
145.71375;-37.31772866
145.06;-37.1
146.11;-37.159
146.2071498;-37.22964985
145.47319;-37.38375
146.1876;-37.29125
146.129585;-37.330415
145.306485;-36.621015
146.056955;-37.366955
145.28;-36.95
144.87;-36.635
144.81;-36.604
145.29;-37.347
145.68;-36.888
144.85701;-37.12049
145.06;-37.061
145.83;-37.291
146.05375;-37.03875
144.9146;-36.85375
145.78375;-36.96886
146.247155;-37.462845
146.07596;-37.52125
145.60513;-37.10625
144.45125;-37.38787
144.5389586;-37.01645858
144.42844;-36.77406
144.6373;-36.54625
144.65;-36.881
144.66;-36.948
144.37;-37.32
143.81;-37.085
143.78875;-37.29668
143.960375;-37.162125
144.4694;-36.4519
143.29875;-36.4379661
143.4055172;-37.18198279
143.5;-36.885
142.64;-36.909
143.184705;-37.185295
142.98;-36.64
142.7872;-36.74375
142.821325;-37.026325
143.11;-36.902
143.09;-37.165
147.392935;-37.494565
