lon;lat
136.81;-31.16
134.58;-30.71
135.55;-33.13
135.88;-34.6
138.22;-33.77
136.6;-35.75
138.62;-34.92
139.01;-34.48
140.77;-37.75
139.76;-37.16
143.39;-31.52
145.83;-31.48
145.95;-30.04
147.2;-33.94
148.12;-30.04
150.27;-31.03
153.12;-30.32
152.87;-31.43
151.84;-32.79
150.83;-32.03
149.56;-33.43
148.58;-32.22
151.21;-33.86
150.78;-33.6
150.54;-34.95
150.8;-35.09
150.15;-35.91
149.2;-35.31
147.46;-35.16
148.38;-35.94
144.95;-35.56
142.09;-34.24
141.65;-36.31
143.92;-35.72
146.51;-36.1
149.92;-37.57
148.47;-37.69
147.13;-38.12
146.42;-39.13
144.98;-37.83
144.76;-37.86
143.51;-38.86
146.79;-41.05
147.22;-41.55
148.35;-40.99
147.15;-43.49
147.33;-42.89
147.07;-42.99
146.28;-42.28
