value;iVar;itime;ispaceP;ispaceQ;ispaceT
0.288888888888889;2;40;0;1;0
0;2;41;0;1;0
0;2;42;0;1;0
0;2;43;0;1;0
0;2;44;0;1;0
0.055555555555556;2;45;0;1;0
0;2;46;0;1;0
0;2;47;0;1;0
0;2;48;0;1;0
0;2;49;0;1;0
0.857142857142857;2;50;0;1;0
0.033333333333333;2;51;0;1;0
0;2;52;0;1;0
0;2;53;0;1;0
0;2;54;0;1;0
0.4;2;55;0;1;0
0;2;56;0;1;0
0;2;57;0;1;0
0;2;58;0;1;0
0;2;59;0;1;0
0.211111111111111;2;60;0;1;0
0;2;61;0;1;0
0.56043956043956;2;62;0;1;0
0.366666666666667;2;63;0;1;0
0.233333333333333;2;64;0;1;0
0.988888888888889;2;65;0;1;0
0;2;66;0;1;0
0.088888888888889;2;67;0;1;0
0.233333333333333;2;68;0;1;0
0.133333333333333;2;69;0;1;0
0.296703296703297;2;70;0;1;0
0;2;71;0;1;0
0;2;72;0;1;0
0;2;73;0;1;0
0;2;74;0;1;0
0;2;75;0;1;0
0;2;76;0;1;0
0;2;77;0;1;0
0;2;78;0;1;0
0;2;79;0;1;0
0.611111111111111;2;80;0;1;0
0.055555555555556;2;81;0;1;0
0;2;82;0;1;0
0;2;83;0;1;0
0.333333333333333;2;84;0;1;0
0.922222222222222;2;85;0;1;0
0;2;86;0;1;0
0;2;87;0;1;0
0.244444444444444;2;88;0;1;0
0.788888888888889;2;89;0;1;0
0.197802197802198;2;90;0;1;0
0.744444444444444;2;91;0;1;0
0.744444444444444;2;92;0;1;0
0;2;93;0;1;0
0;2;94;0;1;0
0.144444444444444;2;95;0;1;0
0.544444444444444;2;96;0;1;0
0.011111111111111;2;97;0;1;0
0.230769230769231;2;98;0;1;0
0;2;99;0;1;0
0.477777777777778;2;100;0;1;0
0;2;46;0;2;0
0.033333333333333;2;47;0;2;0
0.088888888888889;2;48;0;2;0
0;2;49;0;2;0
0.934065934065934;2;50;0;2;0
0;2;51;0;2;0
0;2;52;0;2;0
0;2;53;0;2;0
0;2;54;0;2;0
0.244444444444444;2;55;0;2;0
0;2;56;0;2;0
0;2;57;0;2;0
0;2;58;0;2;0
0;2;59;0;2;0
