"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
1981-11-27T00:00:00.000Z,"0.855","16",20,10,1
1981-11-28T00:00:00.000Z,"1.18","16",20,10,0
1981-11-29T00:00:00.000Z,"0.942","16",20,10,0
1981-11-30T00:00:00.000Z,"0.792","16",20,10,0
1981-12-01T00:00:00.000Z,"1.31","16",20,10,0
1981-12-02T00:00:00.000Z,"0.968","16",20,10,0
1981-12-03T00:00:00.000Z,"0.868","16",20,10,0
1981-12-04T00:00:00.000Z,"0.844","16",20,10,0
1981-12-05T00:00:00.000Z,"0.853","16",20,10,0
1981-12-06T00:00:00.000Z,"1.12","16",20,10,0
1981-12-07T00:00:00.000Z,"2.39","16",20,10,0
1981-12-08T00:00:00.000Z,"2.99","16",20,10,0
1981-12-09T00:00:00.000Z,"2.82","16",20,10,0
1981-12-10T00:00:00.000Z,"2.63","16",20,10,0
1981-12-11T00:00:00.000Z,"2.11","16",20,10,0
1981-12-12T00:00:00.000Z,"1.95","16",20,10,0
1981-12-13T00:00:00.000Z,"1.72","16",20,10,0
1981-12-14T00:00:00.000Z,"7.68","16",20,10,0
1981-12-15T00:00:00.000Z,"8.14","16",20,10,0
1981-12-16T00:00:00.000Z,"9.59","16",20,10,0
1981-12-17T00:00:00.000Z,"6.14","16",20,10,0
1981-12-18T00:00:00.000Z,"17.8","16",20,10,0
1981-12-19T00:00:00.000Z,"8.31","16",20,10,0
1981-12-20T00:00:00.000Z,"6.63","16",20,10,0
1981-12-21T00:00:00.000Z,"6.49","16",20,10,0
1981-12-22T00:00:00.000Z,"5.63","16",20,10,0
1981-12-23T00:00:00.000Z,"6.13","16",20,10,0
1981-12-24T00:00:00.000Z,"6.63","16",20,10,0
1981-12-25T00:00:00.000Z,"4.41","16",20,10,0
1981-12-26T00:00:00.000Z,"3.76","16",20,10,0
1981-12-27T00:00:00.000Z,"3.77","16",20,10,0
1981-12-28T00:00:00.000Z,"3.49","16",20,10,0
1981-12-29T00:00:00.000Z,"4.33","16",20,10,0
1981-12-30T00:00:00.000Z,"4.29","16",20,10,0
1981-12-31T00:00:00.000Z,"3.17","12",20,10,0
1982-01-01T00:00:00.000Z,"4.59","12",20,10,0
1982-01-02T00:00:00.000Z,"4.29","12",20,10,0
1982-01-03T00:00:00.000Z,"3.42","12",20,10,0
1982-01-04T00:00:00.000Z,"4.71","12",20,10,0
