ID	X	Y	S	Z	G
A2332110	7.29262106	48.27010648	108	260	4.00
A3301010	7.74226442	48.82270607	622	144	4.00
A3832010	8.04864885	48.90359499	202	120	4.00
A4050620	6.68592558	47.90948677	153	432	4.00
A4200630	6.61069938	48.06610426	621	371	4.00
A4250640	6.45268715	48.16551516	1220	324	4.00
A5261010	6.13637403	48.30219492	382	261	10.00
A5431010	6.13224899	48.54495388	940	225	10.00
A6051020	6.95614061	48.28455096	374	335	4.00
A7881010	6.18787856	49.10050176	1280	163	10.00
B2220010	5.53063125	48.8709908	2540	219	10.00
B4631010	5.15932645	49.62933623	1967	159	10.00
B5322010	4.71373849	49.72760592	124	150	10.00
E4306010	2.03076983	50.80066887	105	32	9.00
H0100010	4.5704553	47.76459746	371	248	10.00
H0100020	4.48077532	47.99599927	704	179	10.00
H0321030	4.61486677	47.99831631	548	197	10.00
H2062010	3.49364262	47.41421392	264	160	10.00
H2073110	3.40761738	47.43074787	81	172	10.00
H21220XX	3.96410373	47.35390167	221	310	9.00
H3621010	2.78847219	48.33769995	3900	48	9.00
H4223110	2.0321188	48.56091954	147	77	9.00
H4252010	2.34117659	48.66759992	922	35	9.00
H5172010	4.62664793	48.74596988	2100	95	10.00
H6201010	4.78284072	49.30808869	2280	102	9.00
H7033010	4.01893516	49.89500397	258	140	9.00
H7401010	2.9937926	49.56010229	4290	33	9.00
H78335XX	2.41578512	49.13339279	57.3	39	9.00
H9021010	1.2911899	48.44915492	330	154	9.00
I0011010	0.58110714	48.74887045	149	205	9.00
J0144010	-1.43586476	48.42791207	81.5	50	12.00
J0323010	-1.68898417	48.52602	63	18	12.00
J0626610	-2.04301799	48.27256965	82	57	12.00
J2603010	-3.80004556	48.56650835	44	18	12.00
J2723010	-3.92369008	48.5857684	141	6	12.00
J3024010	-4.07657618	48.61598443	43	35	12.00
J3205710	-4.3622648	48.53135814	24	34	12.00
J4214510	-3.987041	48.10283196	7.04	130	12.00
J4224010	-4.0140285	47.98883256	107	18	12.00
J4514010	-3.8749431	47.8838802	20.1	10	12.00
J4614010	-3.75173653	47.90777838	69.7	28	12.00
J5613010	-2.97471704	47.90086998	316	39	12.00
J5704810	-3.20081914	47.90510736	47.7	38	12.00
J7353010	-1.94428341	48.12845184	468	29	12.00
J7483010	-1.722263	48.01950612	820	15	12.00
J7824010	-1.69036273	47.71315668	118	13	12.00
J7973010	-1.97914027	47.77624728	37	25	12.00
J8363110	-2.3683857	47.99475523	315	33	12.00
J84330XX	-2.70285347	47.82577213	137	44	12.00
J8602410	-2.14329534	47.98257048	30.2	64	12.00
K0010010	4.1568957	44.77248481	62	1012	8.00
K0403010	4.30092264	45.05776414	139	930	3.00
K0454010	4.21458125	45.21475378	228	584	3.00
K0523010	3.93876237	45.30773136	354	692	3.00
K0567520	4.2507435	45.31361485	134	720	3.00
K1284810	4.19650247	47.00504631	138	322	13.00
K1341810	4.03450552	46.53457638	2277	237	13.00
K1383010	4.07698192	46.47580133	819	237	13.00
K1724210	3.76365216	46.91089339	115	210	13.00
K2363010	3.52256452	45.19753697	155	538	3.00
K2514010	3.00694873	45.1344154	157	746	3.00
K2523010	3.02933602	45.16250691	310	870	3.00
K2593010	3.26465992	45.38233689	984	450	3.00
K2644010	3.35806284	45.62282177	73.2	437	3.00
K3264010	2.67401953	45.8706894	112	536	13.00
K3374710	3.19821887	46.24359738	71.4	255	13.00
K4443010	1.65575842	47.74750645	155	78	9.00
K5183010	2.44495969	46.18441496	854	334	13.00
K5200910	2.66719761	46.24211514	1600	267	13.00
K5653010	2.44806367	47.03696609	585	130	9.00
K6492510	1.53496623	47.28649264	2254	73	9.00
K7312610	1.12707215	47.01687508	1712	85	9.00
K7514010	0.81891249	47.24736798	127	63	9.00
L0010610	2.00737328	45.70214587	58.5	618	13.00
L0314010	1.57837824	45.95616894	134	302	13.00
L0563010	1.24011457	45.75676606	597	214	13.00
L0813010	0.9155422	45.91313205	288	208	13.00
L4010710	2.16721932	45.88837499	165	510	13.00
L4033010	2.17723163	45.93190753	186	440	13.00
L4220710	1.6790741	46.37842318	1235	212	13.00
L4321710	1.99277549	46.36713112	558	273	13.00
L4411710	1.68899441	46.38593896	850	218	13.00
L5034010	1.49567416	46.09667056	131	318	13.00
L5101810	1.4331701	46.1137509	570	298	13.00
L5134010	1.14210516	46.1507827	177	186	13.00
L5223020	1.02110005	46.13427706	286	235	13.00
L7000610	0.54489344	47.04972548	19920	40	9.00
M0243010	0.20494302	48.15966278	510	50	9.00
M1213010	0.81959427	48.01431991	270	101	9.00
M1354020	0.47849277	47.60306111	67	65	9.00
M3323010	-0.77740279	48.16748937	375	63	12.00
M3423010	-0.70539732	48.03346702	410	47	12.00
M5102010	-0.37447838	47.19299691	250	44	12.00
M5222010	-0.6323086	47.31618005	920	15	12.00
M6013010	-1.05206071	47.31001869	460	11	12.00
M6323010	-1.04905112	47.5595167	169	34	12.00
M6333020	-1.48107964	47.46388378	472	4	12.00
M7112410	-1.11570122	47.01818141	814	43	12.00
M8205020	-1.53227997	47.12160177	147	0	12.00
N3024010	-0.97124834	46.66961354	120	43	12.00
O0015310	0.74696257	42.8672893	38	555	1.00
O0384010	1.23181839	42.89914218	169	480	1.00
O0554010	0.92865691	43.04621949	98	332	1.00
O0624010	1.14182994	43.14470739	91	274	1.00
O1076010	1.64574888	42.71362313	52.8	1110	1.00
O1464010	2.01583304	42.97777225	67	375	6.00
O1584610	1.77264238	43.04355872	131	301	1.00
O2725010	0.72976526	43.49780024	36	187	11.00
O3006710	3.7886332	44.34132667	10	1008	8.00
O3011010	3.75442524	44.36147112	67	905	8.00
O3031010	3.61845952	44.34566226	189	565	8.00
O3035210	3.61288496	44.35574611	25	591	8.00
O3121010	3.49662631	44.33388064	621	480	8.00
O3364010	3.2902005	44.07277734	300	433	8.00
O3454310	2.92172723	44.08167847	112	330	3.00
O4102510	2.81218802	43.61885697	48	792	8.00
O4704030	2.44063835	43.82214053	72	413	3.00
O5042510	2.84599748	44.39906887	270	580	8.00
O5055010	2.87249626	44.41570528	110	580	3.00
O5224010	2.04943182	44.35679769	199	405	3.00
O5284310	2.04362201	44.20883627	103	305	3.00
O5312910	2.80168879	44.30854029	138	732	3.00
O5344010	2.81333252	44.21025243	57	806	3.00
O5464310	2.4347979	44.10880788	175	360	3.00
O6804630	0.32427711	43.39935033	10.2	238	11.00
O7041510	3.4257006	44.4834955	465	663	8.00
O7354010	3.12825735	45.01185201	310	749	3.00
O7444010	3.08554144	44.82631849	283	917	3.00
O8113510	1.98468901	44.58843879	676	182	3.00
P0115010	2.6963814	45.5286377	19.8	905	3.00
P0115020	2.54267711	45.54380681	85	557	3.00
