"time"	"HCI1"	"uHCI1"	"HCI2"	"uHCI2"	"HCI3"	"uHCI3"
1705	0.594669	2.3950479	-0.2740535	2.899929	-0.416398	2.876514
1706	1.44667	1.80484215	-0.719327	3.5908353	0.751488	2.908737
1707	0.8048585	1.9642982	0.365586	2.50757365	-0.316108	2.4349062
1708	1.34909	1.7551112	-0.7187935	3.81864585	0.765326	2.787074
1709	-0.07745705	2.4287735	0.0787896	3.1921875	-0.0110217	2.901594
1710	2.51324	1.0330065	2.169175	2.77992795	-0.596662	2.3342912
1711	-0.1902835	2.6085028	-0.04330645	2.8160295	0.0343553	2.567236
1712	-0.1859175	2.3129273	-0.0832329	2.537252	0.0948712	3.369322
1713	-0.1688765	2.23946875	0.0458289	2.8880865	-0.119471	3.229976
1714	-0.1933275	2.7696718	-0.0639148	2.657253	0.275762	2.784112
1715	-0.1685	2.21648375	0.01476885	2.85429	0.178516	3.473644
1716	-0.1463755	2.4347132	0.207415	3.6030045	0.3418	3.39116
1717	-0.177576	2.22692005	-0.01792415	3.128278	0.135682	2.584456
1718	-0.14193	2.2092644	-0.05955635	2.7647365	0.141769	2.757998
1719	-0.1507225	2.289336	0.1197975	3.3782105	0.0846753	2.885206
1720	-0.272265	2.49814725	0.0122401	3.057132	0.085479	2.55541
1721	-0.230464	2.60726805	-0.1381845	3.98522	-0.237716	2.948036
1722	-0.277976	3.5398345	-0.04241775	2.9034995	0.0679128	2.749024
1723	-0.2492545	2.71091085	-0.0148717	3.245725	-0.0779974	3.603886
1724	-0.1730145	2.32659915	-0.01599415	3.158039	0.0455824	2.389094
1725	-0.19728	2.2443252	-0.05648495	2.7493935	0.0149874	2.770232
1726	-0.2409455	2.30499685	-0.00467128	3.106763	-0.121445	3.402814
1727	-0.206217	2.46929765	0.111874	3.228687	0.233302	3.136158
1728	-0.1431435	2.4003572	-0.04202095	2.7642215	-0.0432874	3.704824
1729	-0.259598	2.5455424	-0.1470715	3.340509	0.060052	2.372764
1730	-0.290074	2.7893458	-0.116842	2.680392	0.00479307	2.818188
1731	-0.2265025	2.33139705	-0.0746776	3.341457	0.026929	3.443476
1732	1.119985	1.47400095	-0.7800315	2.32933335	0.520316	2.5268226
1733	-0.198316	2.5106857	-0.0549464	3.0412635	0.143849	3.093534
1734	0.5934705	1.89233725	-0.2649715	2.4440085	0.364366	2.6863842
1735	-0.1445165	2.363925	0.02484305	3.3636415	0.054109	3.46222
1736	-0.141412	2.46619005	-0.04793385	2.794043	0.0300158	2.78518
1737	-0.173241	2.674851	0.0677842	3.2991425	-0.110216	3.054612
1738	-0.1775135	2.3680818	-0.1851695	3.302829	0.0400325	2.854236
1739	-0.186667	2.389832	0.02010925	3.0848815	-0.029737	2.847094
1740	1.2751	1.3727561	-0.1062675	2.689871	0.0978069	2.911968
1741	-0.144968	2.46152085	-0.0482509	2.8319425	-0.032488	2.996002
1742	-0.237068	2.36011475	-0.2745605	2.7057205	0.186533	3.317718
1743	1.06413	1.5043524	-1.20115	3.34664645	0.781353	2.714548
1744	-0.255966	2.500451	-0.1039045	2.8018385	0.0312915	2.76835
1745	-0.235361	3.01584255	-0.004508065	2.895107	-0.0516221	2.77212
1746	0.51192	2.0439907	-0.02081615	3.8042645	-0.229386	2.739388
1747	-0.1578575	2.276771	-0.1904625	2.9740615	0.0120528	2.770172
1748	0.5968895	1.9289823	-0.0976137	2.2901645	-0.0614832	2.1414558
1749	-0.2789955	2.55750555	0.01482875	3.240537	0.053214	2.44841
1750	-0.27357	3.20325055	0.02990605	3.248034	-0.105202	2.784968
1751	-0.319611	2.6674839	0.0260199	2.660937	-0.0451833	2.734928
1752	-0.2449645	2.35571665	-0.076927	3.502278	0.170525	2.4491522
1753	-0.2220225	2.79815335	-0.141298	3.1685255	-0.0420476	2.67534
1754	-0.3062985	2.9441956	0.0519673	2.6281825	-0.0563459	3.000332
1755	0.5216085	1.8047291	-0.52633	2.89981	0.368829	2.5196088
1756	0.5787765	1.86614555	-0.610957	2.85624865	0.48504	2.863109
1757	-0.1690535	2.3198148	-0.04889895	2.7524655	0.0479567	3.614614
1758	-0.249831	2.3574076	0.0358967	2.894145	0.126278	3.316444
1759	-0.195434	2.40832195	0.08694305	3.083379	-0.0733667	3.731812
1760	-0.213539	2.3389415	-0.006771415	3.251166	-0.122718	2.935306
1761	-0.267811	2.4417282	0.05129325	2.8564535	-0.0257852	3.2107
1762	-0.242559	2.4275554	0.09743045	3.4467315	0.11704	2.942504
1763	-0.2861975	2.34081085	-0.0502372	2.7892455	-0.0705441	2.88922999999999
1764	-0.274788	2.4867723	-0.07098405	2.832042	0.204997	3.2136
1765	-0.2840505	2.53232705	0.0345418	3.3081925	0.0690815	3.135382
1766	-0.256635	2.41596045	-0.1243555	3.099525	0.182888	3.027734
1767	0.5530875	1.71030415	-0.0978981	2.8055245	-0.257871	2.379974
1768	-0.2748365	2.23964715	0.1256145	2.882522	0.0456676	2.774072
1769	1.033885	1.43684905	-2.85528	4.0849796	-0.129292	4.583652
1770	0.787666	1.557321175	0.178034	2.2402245	-0.0172293	2.0374036
1771	-0.409621	2.565282	0.209251	2.94222525	-0.128533	3.020278
1772	-0.313942	2.42698565	-0.064845	3.393975	0.0797895	2.613314
1773	-0.3042375	2.6813272	-0.03141865	3.4592805	0.0344319	3.963132
1774	-0.31774	2.1378829	-0.03207765	2.8062365	-0.0230277	3.02466
1775	-0.288976	2.39048775	0.03946995	2.6009205	0.0568193	2.601588
1776	-0.3111105	2.2964255	0.05408745	2.9478295	0.00145493	2.7779
1777	-0.3694255	2.2893715	-0.1265545	3.351388	0.0544498	3.06743
1778	0.28736	1.88120945	0.28857	2.61077495	0.233603	2.743014
1779	-0.3109595	2.50230955	-0.03164555	2.9955435	-0.050129	2.96795
1780	-0.344184	2.5146784	-0.0700709	2.8106565	-0.0527148	3.49583
1781	-0.375924	2.3670624	-0.0349518	3.388414	0.00300228	2.377192
1782	1.794295	0.823569	0.257937	2.00643875	-0.845247	2.0978486
1783	0.35295	1.83557425	-0.212118	2.544079	0.486907	2.6245584
1784	-0.403562	2.31869935	-0.104878	3.262337	-0.0401341	3.8336
1785	-0.431078	2.19441355	-0.0157841	3.416839	0.0663646	2.831188
1786	0.269096	1.8083524	-0.163032	2.722017	-0.000164247	2.746654
1787	-0.4524285	2.2856801	0.02265205	4.2772605	-0.0421959	4.191456
1788	1.125965	1.06556675	-1.32142	3.2721464	1.56699	3.0369494
1789	0.8616765	1.10482865	-0.3116355	2.27911635	0.611615	2.1997598
1790	1.82496	0.5968795	-1.30769	1.65188145	0.886349	2.1320782
1791	0.9135775	0.9691567	0.3749845	2.43337685	-0.818792	2.2603434
1792	0.06039765	1.60551365	0.2193635	2.4920161	-0.142883	2.415154
1793	-0.6212295	2.1747312	0.112614	2.707183	-0.0115183	2.756818
1794	-0.558483	2.2253241	0.1430785	2.674681	0.0170694	2.741128
1795	-0.609816	2.1604765	0.08123095	3.4099845	0.0550356	2.540616
1796	-0.668581	2.46000685	0.471869	2.3891387	0.216417	2.660776
1797	-0.5415385	2.0904222	-0.0425402	2.690983	-0.0667167	2.759634
1798	0.1019475	1.5224888	0.281931	2.44305355	-0.250984	2.520608
1799	-0.5685125	2.2928929	0.3295285	2.76244485	-0.0784997	2.214814
1800	-0.606371	2.2133551	0.06249	2.785571	0.0508557	2.777906
1801	0.425939	1.246028	1.000427	2.8110436	1.43774	2.67238686
1802	0.08378975	1.61356025	-0.19337	2.3781	0.150683	2.433436
1803	0.693349	1.06855335	-0.144616	2.0163196	0.366012	1.9899986
1804	-0.578293	2.2659808	0.001251905	2.766025	0.00428373	2.618648
1805	-0.6499685	2.3274724	-0.00996087	2.624246	-0.0658619	3.764176
1806	-0.626562	2.06037745	0.275247	2.3292754	-0.338414	2.289399
1807	-0.6439415	2.2336919	-0.0122608	3.36967	0.285238	3.36259
1808	-0.001966224	1.6032116	0.537376	2.36333685	-0.455783	3.0645852
1809	-0.6601995	2.40179415	0.10115935	2.6457645	-0.011905	2.465974
1810	-0.5542515	1.92293755	0.1415325	3.644547	-0.0397932	2.737588
1811	-0.574095	1.92665705	0.245432	2.5406925	-0.209154	2.829038
1812	0.01756775	1.61427265	0.6567	2.4004266	-0.343175	2.160379
1813	0.6602375	1.116816896	0.7872565	2.5988022	-1.10373	2.1745755
1814	-0.5224485	1.87480835	-0.1107135	3.537967	0.0300764	4.241944
1815	-0.112971	1.64125115	0.5171265	2.917049	0.121788	2.79611
1816	0.7987725	0.96296695	1.08478	2.019130086	-0.961958	2.02189858
1817	0.5655575	1.05711769	0.8228685	2.5529763	-0.98299	2.2292242
1818	-0.6172705	2.14351145	-0.07425425	3.118686	0.0615363	5.143412
1819	-0.389909	2.0198504	-0.09456475	2.8968205	-0.0827809	2.344636
1820	-0.236166	1.9708568	-0.4650295	3.2481165	-0.230184	3.355528
1821	-0.6646055	2.27285245	0.13237	2.6870635	-0.075266	2.690572
1822	1.01279	0.7932004	0.6279865	2.96681585	-0.823145	3.412077
1823	-0.626128	2.07759035	0.0895751	2.79301	-0.0971821	3.22507
1824	-0.771827	2.9672531	0.1053035	2.6756655	-0.0438687	2.449702
1825	2.03696	0.5370365	-1.08872	1.73217645	0.318912	1.8122618
1826	0.01488195	1.5028597	-0.1896815	2.545728	0.158215	2.227962
1827	0.250187	1.29764425	0.5798745	2.5067142	1.2337	2.13538548
1828	-0.669228	2.21390435	0.2080725	2.7606535	-0.119023	3.073352
1829	-0.6768195	2.2082474	0.428092	2.3127218	-0.0236096	2.228844
1830	-0.7036805	2.14350965	0.2503315	2.49385915	-0.045001	2.884852
1831	-0.684623	2.09565315	-0.01976575	2.9806115	-0.265318	3.344926
1832	0.390107	1.22542125	-2.15244	2.8736738	-0.7012	2.9601164
1833	-0.529828	2.05754585	-0.1073025	2.691427	-0.211647	2.70592
1834	0.953506	0.7784625	-0.419063	1.710223	0.229382	1.8012058
1835	0.7170275	0.88422305	0.232829	2.4575752	0.0163382	2.296764
1836	-0.722735	2.08826975	0.1304405	3.1204965	-0.132685	3.453478
1837	-0.715715	1.90501185	0.1118765	2.8795015	-0.0256051	2.544802
1838	0.240759	1.28669005	0.08668505	2.684608	-0.579461	2.54924
1839	0.35891	1.12726405	0.9542515	2.4143352	-0.34197	2.1832758
1840	1.922885	0.435213	2.65294	1.671246	1.35505	1.6468858
1841	-0.436055	1.52903195	0.2571725	2.8299775	0.579585	2.3631158
1842	1.38268	0.5116345	0.09750295	1.4968815	-2.57673	1.79325
1843	1.235355	0.5252348	1.26976	1.72379865	-2.63568	1.685774
1844	0.52773	0.81168985	-0.462313	1.63538225	-0.240428	1.7312436
1845	-0.463468	1.5307608	0.286149	2.5441635	0.570841	2.741715
1846	2.270895	0.3983845	-1.43514	1.1371936	0.151168	2.6983018
1847	-0.576974	1.72561545	-0.239067	2.936134	-0.595252	2.6688694
1848	-1.01829	1.9793891	0.02608475	2.23039895	0.0138496	2.1682876
1849	-0.06417	1.142965	0.5582935	2.10532655	-0.705353	2.4411142
1850	-0.478114	1.50159035	0.0162065	2.2460265	-0.0761252	2.424314
1851	-0.0639265	1.13086115	-0.231141	1.8545607	-0.136514	2.151308
1852	-0.6358425	1.70227807	0.455974	2.55077795	-0.370299	2.547122
1853	-0.947207	1.85276315	0.01712875	2.5249455	0.0571859	3.223612
1854	0.543307	0.77825705	-0.911773	2.1535453	-1.02117	4.266534
1855	3.050375	0.4648515	0.358666	1.003674	0.932035	1.5846002
1856	-0.23575	1.18160195	0.0961101	2.0009242	0.337601	2.0471996
1857	-1.07916	1.8066208	-0.049736	2.725761	-0.0432312	2.355256
1858	-0.642824	1.689656765	-0.03256345	2.3604825	0.541168	1.9962454
1859	-0.09580195	1.082228	0.6478615	2.0864188	-0.423965	2.2109958
1860	-0.556531	1.50113329	0.168753	2.0560947	0.032155	2.54963
1861	-0.81214	1.93188113	-0.0662552	2.421296	0.635675	2.4258716
1862	-1.06926	1.9908026	0.0671939	2.851279	-0.00362323	2.655232
1863	-1.23872	2.1522523	0.05545075	2.4207275	-0.154655	2.616354
1864	-0.3394055	1.26977945	-0.312386	2.20794735	0.332612	2.093928
1865	-0.3948935	1.39216345	0.267556	2.57348	-0.551654	2.5192724
1866	2.37176	0.380768	-2.023585	1.3862385	0.121026	2.5451334
1867	-1.05362	1.95955675	0.1129345	2.792781	-0.166576	2.825748
1868	0.6661275	0.6795823	-2.365625	1.591686	-1.20614	2.4368434
1869	-1.040145	1.89428535	0.05854875	2.3316235	-0.045255	3.092796
1870	-0.5047465	1.4165535	-0.0410078	2.2540075	0.288655	2.7459908
1871	0.4419455	0.8124382675	0.8387645	1.59668638	-0.706747	2.1844542
1872	1.32069	0.4421635	-0.5224235	1.164224505	-0.269774	1.9009684
1873	-0.914957	1.9511118	-0.1468275	2.583425	-0.299943	3.390664
1874	0.7936775	0.6306944	-1.259845	1.6770373	-0.632533	4.069776
1875	0.923513	0.56255835	-0.5699165	1.4707878	-0.855199	1.76691954
1876	-0.5948075	1.544666035	0.00733586	2.3676105	0.01718	2.747942
1877	-1.07835	1.798507	0.05525045	2.311434	-0.0988022	2.712672
1878	0.5025325	0.73132205	-0.360253	1.86704945	0.166504	2.0420554
1879	-0.48422	1.59127715	1.52852	2.39212295	-0.407503	2.808988
1880	-0.5731495	1.5207213	0.499208	2.314613	-0.305378	2.400512
1881	-0.540578	1.4588259	-0.0113574	2.07457185	-0.306002	2.505748
1882	0.7395225	0.62305755	1.223325	1.2957018	-0.183683	1.7692134
1883	-1.13364	2.1609396	0.0201163	3.061604	-0.004533	3.115376
1884	-0.322816	1.2971469	0.327354	2.0114528	0.0808075	2.346786
1885	-0.7469	1.7668935835	-0.3619155	2.790911	0.0972836	3.348762
1886	-0.2351205	1.23014075	0.317696	1.7761285	0.845986	1.6786718
1887	-1.10521	2.13479725	-0.159487	3.0045705	0.0258117	2.63236
1888	-0.670561	1.6572341	-0.6039715	2.33775955	-0.272454	2.802846
1889	-0.505939	1.48551165	-0.701669	2.4289585	-0.0664773	3.089198
1890	0.07345555	1.05432355	-0.1445655	2.26306575	1.59444	1.9488076
1891	0.02594605	1.1263398	-0.8001845	2.519636	0.0664939	3.853792
1892	-0.4852075	1.4964581	-0.09961645	2.08929875	-0.10795	2.495472
1893	0.753654	0.64558685	-1.42604	1.5158125	0.914676	2.516506
1894	0.13321	0.97855245	0.8599155	1.72335547	-0.453319	2.1942696
1895	0.6567825	0.658562	0.367808	1.42378075	-0.405147	1.6030336
1896	1.767415	0.3924035	0.0699494	0.96296995	0.202462	1.9916328
1897	-1.026455	1.94500365	-0.2513835	2.7790735	-0.176848	2.48892
1898	-0.639412	1.576880115	-0.1895625	2.17675425	0.127136	2.247856
1899	-0.733824	1.47242729	-0.130451	2.26836985	0.248998	2.1776954
1900	0.31593	0.85785665	0.762327	1.6861273	1.83247	1.7249332
1901	-0.6039055	1.7055634	-0.2580335	2.0805714	0.282882	2.5642734
1902	-1.21061	1.98235935	0.03163215	2.2648415	-0.0115925	2.707012
1903	1.275495	0.47446	-0.310847	1.1389763	-1.75342	1.5720536
1904	-0.771268	1.65222918	-0.1591115	2.591195	-0.504706	2.393714
1905	-0.2907655	1.20674745	0.1257015	2.428289	0.0104303	2.59501
1906	-0.4414255	1.356112	-0.607249	2.08408305	0.206802	2.2312396
1907	1.571095	0.3940075	-1.412895	1.3509002	2.11749	1.921418
1908	-1.240985	2.3660573	-0.0660007	2.384583	-0.0601136	2.549598
1909	1.744025	0.403626	0.8488715	0.94992045	0.353219	1.3770946
1910	1.559405	0.4039275	1.63739	1.0489205	-1.60437	2.1612476
1911	0.9633015	0.54139815	-1.43739	1.2244317	-0.570406	1.3903762
1912	1.149745	0.51224375	-0.616438	1.41689387	-1.16207	1.5025714
1913	-0.6412885	1.49829396	0.421375	2.334336	-0.0239879	2.514888
1914	-1.104075	2.19817025	-0.000328115	2.5613695	0.164175	2.5116308
1915	-1.141625	2.10355395	-0.0163587	2.428313	0.221592	2.38629
1916	-0.973459	1.9107374	-0.205174	3.0832125	0.0295391	2.78323
1917	-0.707533	1.63331506	-0.2511675	2.1216089	0.0620777	2.533822
1918	0.998971	0.5523614	0.570211	1.01485317	0.305943	1.3972082
1919	0.5197765	0.74706885	1.884715	1.065216	-0.456749	1.4693986
1920	0.198797	0.9992214	-1.183065	1.54853605	-0.170917	1.7891042
1921	-0.790314	1.646359255	-0.1838215	2.33490315	0.164789	2.610124
1922	1.357575	0.441371	-0.140353	1.18461865	-1.15614	1.5729932
1923	0.3453105	0.79102357	0.7439445	1.79708285	-0.0970915	2.009648
1924	-0.616125	1.449717125	0.763481	1.78901365	0.569276	1.81747
