"time"	"median"	"lower"	"upper"	"component"
1705	0.594669	-0.7573874	1.6376605	"HCI1"
1706	1.44667	0.45607285	2.260915	"HCI1"
1707	0.8048585	-0.3094192	1.654879	"HCI1"
1708	1.34909	0.3803168	2.135428	"HCI1"
1709	-0.07745705	-1.4219205	1.006853	"HCI1"
1710	2.51324	1.9736625	3.006669	"HCI1"
1711	-0.1902835	-1.7131685	0.895334299999999	"HCI1"
1712	-0.1859175	-1.3566035	0.956323799999999	"HCI1"
1713	-0.1688765	-1.282722	0.95674675	"HCI1"
1714	-0.1933275	-1.913102	0.8565698	"HCI1"
1715	-0.1685	-1.2353105	0.98117325	"HCI1"
1716	-0.1463755	-1.4333025	1.0014107	"HCI1"
1717	-0.177576	-1.3909655	0.83595455	"HCI1"
1718	-0.14193	-1.2833125	0.9259519	"HCI1"
1719	-0.1507225	-1.3366755	0.9526605	"HCI1"
1720	-0.272265	-1.660365	0.83778225	"HCI1"
1721	-0.230464	-1.744656	0.86261205	"HCI1"
1722	-0.277976	-2.6511505	0.888684	"HCI1"
1723	-0.2492545	-1.7914575	0.91945335	"HCI1"
1724	-0.1730145	-1.423042	0.90355715	"HCI1"
1725	-0.19728	-1.399875	0.8444502	"HCI1"
1726	-0.2409455	-1.34628	0.95871685	"HCI1"
1727	-0.206217	-1.516558	0.952739649999999	"HCI1"
1728	-0.1431435	-1.449379	0.9509782	"HCI1"
1729	-0.259598	-1.5852545	0.960287899999999	"HCI1"
1730	-0.290074	-1.8763035	0.9130423	"HCI1"
1731	-0.2265025	-1.500109	0.83128805	"HCI1"
1732	1.119985	0.25209355	1.7260945	"HCI1"
1733	-0.198316	-1.610101	0.9005847	"HCI1"
1734	0.5934705	-0.43195225	1.460385	"HCI1"
1735	-0.1445165	-1.357287	1.006638	"HCI1"
1736	-0.141412	-1.527315	0.93887505	"HCI1"
1737	-0.173241	-1.6632145	1.0116365	"HCI1"
1738	-0.1775135	-1.392386	0.9756958	"HCI1"
