ID;Country;OtherCountry;long;lat;Area;Began;Ended;Duration;Dead;Displaced;Severity
1;Algeria;0;5.23026;35.8142;92615.67;01/01/1985;05/01/1985;5;26;3000;1
2;Brazil;0;-45.3489;-18.7111;678498.82;15/01/1985;02/02/1985;19;229;80000;2
3;Phillipines;0;122.974;10.0207;12846.03;20/01/1985;21/01/1985;2;43;444;1
4;Indonesia;0;124.606;1.01489;16542.12;04/02/1985;18/02/1985;15;21;300;1
5;Mozambique;0;32.3491;-25.8693;20082.21;09/02/1985;11/02/1985;3;19;0;2
6;Comoros islands;0;43.36;-11.6516;1035.61;16/02/1985;28/02/1985;13;2;35000;1
7;New Zealand;0;175.734;-37.2305;7871.37;17/02/1985;18/02/1985;2;4;200;1
8;Indonesia;0;108.14;-7.04008;77091.11;19/02/1985;23/02/1985;5;10;2000;1
9;USA;0;-85.1742;40.6691;210527.96;22/02/1985;01/03/1985;8;7;2250;2
10;Bolivia;0;-63.2887;-21.2244;69706.89;25/02/1985;28/02/1985;4;2;1000;1
11;USA;0;-89.5537;40.6814;26266.14;03/03/1985;08/03/1985;6;4;2400;2
12;USA;0;-108.093;35.3824;26527.13;13/03/1985;14/03/1985;2;0;80;1
13;USA;0;-96.7845;29.6044;141508;14/03/1985;15/03/1985;2;0;0;1
14;USA;0;-83.5377;42.0122;16883.54;30/03/1985;31/03/1985;2;0;300;1
15;Brazil;0;-48.0987;-4.13519;1970402.21;02/04/1985;17/04/1985;16;32;700000;2
16;USA;0;-96.8425;28.5802;17192.76;11/04/1985;12/04/1985;2;1;200;1
17;China;0;127.897;48.0917;300325.08;21/04/1985;29/04/1985;9;0;200;1
18;USA;0;-87.8805;46.4938;5123.72;24/04/1985;25/04/1985;2;0;400;2
19;USA;0;-105.275;34.8628;116344.02;11/05/1985;12/05/1985;2;2;0;1
20;USA;0;-66.706;18.2291;1423.92;19/05/1985;20/05/1985;2;2;4500;1
21;China;0;109.57;25.6694;458666.21;26/05/1985;06/06/1985;12;64;10000;2
22;Argentina;0;-58.9735;-35.4392;78653.41;30/05/1985;01/06/1985;3;25;100000;2
23;Bangladesh;0;91.8542;24.6497;8910.3;03/06/1985;22/06/1985;20;7;100000;2
24;USA;0;-99.4494;33.6977;83470.44;05/06/1985;06/06/1985;2;6;100;1
25;USA;0;-96.1011;36.3581;9865.44;10/06/1985;11/06/1985;2;0;320;2
26;Philippines;0;120.916;14.7417;7768.19;22/06/1985;30/06/1985;9;98;130000;1
27;India;0;75.0937;14.5398;254234.6;23/06/1985;27/06/1985;5;95;25000;1
28;China;0;109.974;27.7882;290679.68;28/06/1985;10/07/1985;13;275;60000;2
29;Bangladesh;0;89.9853;22.6176;6446.85;03/07/1985;04/07/1985;2;2;77000;1
30;West Germany;0;6.50952;50.7134;1927.64;06/07/1985;07/07/1985;2;3;0;1
31;USA;0;-80.5923;38.9381;24269.06;09/07/1985;10/07/1985;2;2;200;1
32;Chad;0;21.5509;11.6727;15243.93;13/07/1985;16/07/1985;4;0;1600;1
33;India;0;76.9103;32.8353;117441.17;18/07/1985;30/07/1985;13;340;20000;1
34;Sudan;0;24.9139;13.489;63577.12;19/07/1985;22/07/1985;4;0;0;1
35;China;0;125.156;42.6953;994498.21;20/07/1985;02/09/1985;45;200;2000000;2
36;Bangladesh;0;90.1999;23.1028;5663.46;21/07/1985;17/08/1985;28;15;175000;1
37;USA;0;-85.7798;34.4872;2440.1;24/07/1985;25/07/1985;2;0;100;1
38;China;0;120.376;31.5112;58279.12;01/08/1985;02/08/1985;2;3;200000;1
39;USA;0;-105.091;41.6853;17922.86;02/08/1985;03/08/1985;2;12;0;2
40;Nepal;0;87.1258;27.5049;12487.89;04/08/1985;05/08/1985;2;3;160;2
41;China;0;100.797;23.5255;146691.46;06/08/1985;09/08/1985;4;283;14000;1
42;Austria;0;12.2066;47.3155;15151.05;07/08/1985;08/08/1985;2;12;0;2
43;Ethiopia;0;39.7851;11.0514;92580.07;17/08/1985;19/08/1985;3;0;8000;1
44;China;0;111.342;25.3728;38002.65;30/08/1985;03/09/1985;5;147;0;1
45;China;0;109.825;21.6782;49643.62;30/08/1985;08/09/1985;10;0;200000;1
46;USA;0;-82.3489;28.5438;73968.61;30/08/1985;05/09/1985;7;4;1000000;1
47;Japan;0;142.796;43.4577;79043.09;01/09/1985;02/09/1985;2;11;1200;1
48;China;0;110.542;21.0725;11098.52;01/09/1985;04/09/1985;4;26;70000;1
49;Nepal;0;86.3518;27.3195;13057.51;06/09/1985;11/09/1985;6;30;1500;1
50;USA;0;-83.8824;43.242;3235.32;06/09/1985;09/09/1985;4;0;160;2
51;Viet Nam;0;106.251;20.8454;24681.28;07/09/1985;15/09/1985;9;34;0;1
52;Sweden;0;15.9425;63.1724;51410.52;12/09/1985;15/09/1985;4;0;0;1
53;India;0;82.8434;26.4816;89994.67;13/09/1985;15/10/1985;33;557;152000;2
54;Dominican Republic;0;-71.7971;18.8752;7757.79;14/09/1985;15/09/1985;2;12;895;1
55;Nigeria;0;6.50345;6.41486;74615.9;23/09/1985;25/09/1985;3;0;6000;1
56;Bangladesh;0;89.6457;24.7027;6466.71;27/09/1985;28/09/1985;2;0;800;1
57;USA;0;-66.635;18.2233;7219.8;06/10/1985;08/10/1985;3;99;6200;1
58;Mexico;;-105.8;33.1369;225143.84;09/10/1985;12/10/1985;4;1;460;1
59;Benin;0;2.17876;7.37547;29267.71;10/10/1985;28/10/1985;19;78;48000;1
60;Thailand;0;99.6423;12.9425;13914.12;12/10/1985;17/10/1985;6;18;7640;1
61;India;0;86.7154;21.1495;46758.64;18/10/1985;20/10/1985;3;49;150000;2
62;USA;0;-98.6949;31.7526;61286.27;19/10/1985;21/10/1985;3;3;0;1
63;Phillipines;0;121.138;16.1135;89516.87;19/10/1985;20/10/1985;2;31;0;1
64;USA;0;-90.0003;29.542;9355.65;26/10/1985;30/10/1985;5;0;400000;2
65;USA;0;-78.4543;38.837;57867.01;01/11/1985;09/11/1985;9;54;18000;2
66;Jamaica;0;-77.2692;17.9531;3961.15;19/11/1985;22/11/1985;4;7;0;1
67;Venezuela;0;-67.0248;10.1633;19687.88;02/12/1985;05/12/1985;4;24;15000;1
68;Trinidad;0;-60.6243;11.2699;293.167;02/12/1985;04/12/1985;3;0;0;1
69;USA;0;-82.8186;42.6864;2796.82;30/12/1985;31/12/1985;2;0;100;1
70;USA;0;-116.954;44.0047;1742.13;01/01/1986;06/01/1986;6;0;100;1
71;Bolivia;0;-66.0628;-16.5525;62629.39;06/01/1986;03/04/1986;88;30;11300;2
72;USA;0;-121.38;39.2816;88717.35;12/02/1986;27/02/1986;16;18;30000;2
73;Peru;;-69.0747;-16.1155;94944.29;01/02/1986;01/05/1986;90;0;300000;2
74;USA;0;-87.8814;45.0248;4321.14;27/03/1986;05/04/1986;10;2;496;1
75;Argentina ;0;-59.5908;-29.4731;268467.88;11/04/1986;07/05/1986;27;2;55000;1
76;Brazil;0;-43.7954;-9.79844;155406.32;23/04/1986;25/04/1986;3;11;0;1
77;Iran;0;49.8267;33.3427;206210.86;02/05/1986;06/05/1986;5;26;1000;1
78;Thailand;0;100.638;15.0651;83450.74;09/05/1986;12/05/1986;4;32;0;2
79;USA;0;-89.8357;37.2733;6447.33;15/05/1986;15/05/1986;1;3;0;1
80;Solomon Islands;0;160.669;-9.33748;28719.44;19/05/1986;20/05/1986;2;0;10000;1
81;USA;0;-97.2966;32.4344;5256.42;24/05/1986;24/05/1986;1;3;100;1
82;Chile ;0;-71.0406;-33.0922;27913.34;27/05/1986;29/05/1986;3;8;17000;1
83;USA;0;-79.7424;40.604;1700.14;30/05/1986;31/05/1986;2;8;10;1
84;USA;0;-97.8369;29.6932;26949.32;31/05/1986;11/06/1986;12;10;3500;1
85;Jamaica;;-76.2478;20.8066;81780.3;04/06/1986;15/06/1986;12;94;11860;1
86;Chile ;0;-71.0406;-33.0922;27913.34;15/06/1986;18/06/1986;4;40;45000;1
87;USA;0;-94.1582;31.1451;25821.21;27/06/1986;30/06/1986;4;1;1000;1
88;USA;0;-94.9169;41.7178;6985.68;01/07/1986;02/07/1986;2;1;640;2
89;Philippines;;120.905;15.6456;46621.61;09/07/1986;13/07/1986;5;103;530000;1
90;Columbia ;0;-70.2357;2.12719;199436.26;10/07/1986;30/07/1986;21;4;28000;1
91;Canada ;0;-113.747;53.6451;46913.5;18/07/1986;22/07/1986;5;0;1000;2
92;China ;0;108.766;22.991;116842.63;21/07/1986;31/07/1986;11;73;50000;1
93;India;;84.0726;25.6339;507167.44;15/06/1986;20/08/1986;67;258;3040000;1
94;China ;0;128.148;45.246;599142.99;25/06/1986;24/08/1986;61;0;800000;1
95;Vietnam;0;105.593;21.5735;66087.74;25/07/1986;04/08/1986;11;0;0;1
96;Japan;0;140.195;35.9088;16928.71;05/08/1986;08/08/1986;4;17;3000;1
97;USA;0;-88.2263;42.894;6562.47;06/08/1986;06/08/1986;1;1;250;1
98;India;0;80.187;17.4331;107355.33;15/08/1986;22/08/1986;8;150;3000000;1
99;Uruguay ;0;-54.7281;-33.7104;48840.56;04/08/1986;16/08/1986;13;0;16000;1
100;USA;0;-81.5473;34.3153;3757.12;18/08/1986;21/08/1986;4;2;125;1
101;Azores Islands ;0;-25.5053;37.8118;983.076;01/09/1986;02/09/1986;2;3;0;1
102;USA;0;-102.223;31.9611;49574.37;02/09/1986;05/09/1986;4;3;0;1
103;Mexico ;0;-99.8429;25.6963;14136.46;04/09/1986;08/09/1986;5;20;5000;1
104;USA;0;-84.4959;43.1135;53960.13;09/09/1986;17/09/1986;9;6;4000;2
105;USA;0;-107.522;48.0263;49214.9;25/09/1986;05/10/1986;11;1;700;2
106;India;;89.4296;23.6547;231516.28;22/09/1986;10/10/1986;19;49;700000;1
107;USA;0;-90.6864;38.8855;107660.8;26/09/1986;13/10/1986;18;10;55000;2
108;Tunisia;0;10.2467;36.1903;12622.37;30/09/1986;03/10/1986;4;20;500;1
109;Philippines;0;120.882;14.6553;24915.98;06/10/1986;07/10/1986;2;18;60000;1
110;Alaska ;0;-149.464;61.7914;43476.34;09/10/1986;15/10/1986;7;0;1500;1
111;Haiti ;0;-72.9026;18.7575;1153.3;23/10/1986;25/10/1986;3;40;901;1
112;Indonesia;0;106.005;-3.70717;79414.6;27/10/1986;03/11/1986;8;93;31000;2
113;USA;0;-122.012;47.6776;26882;23/11/1986;26/11/1986;4;0;2000;2
114;Iran;0;50.5509;29.8651;155503.4;30/11/1986;11/12/1986;12;200;40000;1
115;Vietnam;0;108.708;13.9153;49609.11;03/12/1986;05/12/1986;3;165;0;1
