"year";"month";"P_Marseille";"T_Marseille";"SLP_Marseille"
1951;4;35.5104;11.86;1016.28
1951;5;80.8876826784;13.85;1010.67
1951;6;18.4031997408;17.03;1015.52
1951;7;8.83871973216;19.63;1015.97
1951;8;18.21311973216;20.8200000000001;1013.72
1951;9;26.9568;20.36;1015.47
1951;10;155.3472026784;17.15;1013.65
1951;11;92.7936;14.43;1012.01
1951;12;23.03424;12.63;1021.33
1952;1;53.5679973216;11.42;1016.02
1952;2;22.80096050112;11.43;1016.61
1952;3;25.98048053568;11.68;1012.77
1952;4;7.5168;13.13;1014.62
1952;5;36.42624;15.41;1014.33
1952;6;3.6288;19.05;1016
1952;7;21.15936026784;22.01;1014.51
1952;8;24.37344053568;21.88;1013.37
1952;9;41.731202592;19.2;1014.58
1952;10;24.64128;17.06;1015.88
1952;11;57.5424;14.05;1014.35
1952;12;50.62176;11.93;1013.48
1953;1;15.26688053568;11.4;1016.76
1953;2;16.93440024192;11.4;1016.74
1953;3;35.08704;11.83;1024.98
1953;4;13.4784;12.85;1013.29
1953;5;31.87296;15.34;1013.88
1953;6;22.2912;17.13;1011.62
1953;7;8.83871973216;19.67;1015.79
1953;8;3.74976;21.04;1016.55
1953;9;49.247997408;20.25;1015.33
1953;10;51.69312;18.09;1015.64
1953;11;31.6224;16.02;1023.2
1953;12;91.6012746432;14.38;1019.96
1954;1;42.0508773216;12.33;1015.29
1954;2;87.5750375808;11.29;1009.78
1954;3;48.47904;11.68;1010.08
1954;4;24.3647992224;12.12;1014.72
1954;5;20.35584026784;14.2;1012.63
1954;6;6.9984002592;17.42;1014.05
1954;7;9.3744;18.18;1014.73
1954;8;2.94624;18.89;1013.66
1954;9;13.9968005184;18.91;1018.1
1954;10;8.30304;16.92;1018.6
1954;11;54.9504;15.06;1014.92
1954;12;43.9257573216;13.01;1017.46
1955;1;80.8876826784;11.79;1010.08
1955;2;59.02848;11.65;1007.1
1955;3;31.60512;11.74;1011.47
1955;4;1.55520005184;12.58;1017.51
1955;5;11.24928026784;15.25;1017.32
1955;6;20.736;17.74;1015.22
1955;7;0;20.23;1013.48
1955;8;29.73024;20.7;1014.45
1955;9;14.5151997408;19.22;1015.84
1955;10;67.4956826784;16.59;1014.35
1955;11;55.468797408;14.86;1016.4
1955;12;24.64128;12.93;1015.23
1956;1;59.46048;12.15;1014.94
1956;2;64.8950425056;11.26;1011.25
1956;3;100.4400053568;11.1;1014.76
1956;4;36.288;12.06;1010.37
1956;5;8.83871973216;14.21;1017.51
1956;6;1.55520005184;15.91;1016.19
1956;7;14.46336053568;19.01;1014.51
1956;8;10.98143946432;20.24;1013.07
1956;9;70.5024;19.91;1015.86
1956;10;34.55136;17;1020.4
1956;11;72.3168;14.12;1015.9
1956;12;40.97952;12.09;1022.36
1957;1;71.51328;11.42;1021.77
1957;2;24.67584;11.4;1016.35
1957;3;17.40959973216;11.8200000000001;1016.67
1957;4;47.952002592;12.69;1013.4
1957;5;37.76544;14.53;1011.57
1957;6;23.618304;17.4851;1014.65
1957;7;1.328486346432;19.675;1015.08
1957;8;15.68471013216;20.454;1014.33
1957;9;1.65888;18.8059;1015.9
1957;10;56.3642469216;16.8173;1015.22
1957;11;111.207170592;14.6086;1013.95
1957;12;85.4945306784;12.6847;1014.36
1958;1;25.98048053568;11.61;1016.39
1958;2;18.86976072576;11.6;1017.76
1958;3;72.3168;11.53;1008.98
1958;4;45.8784;12.15;1012.07
1958;5;5.08896;14.45;1015.81
1958;6;23.8464;16.58;1013.04
1958;7;6.42816026784;19.1;1013.91
1958;8;35.89056;20.66;1013.3
