"Year";"Temperature";"Precipitation"
1940;15.2;291.8
1941;14.5;484.8
1942;15.6;619.4
1943;14.3;508.3
1944;14.8;225.1
1945;15;448.4
1946;14.6;383.5
1947;14.9;565.8
1948;14.1;480.4
1949;14.3;565.3
1950;14.9;818.7
1951;14.6;489
1952;14.6;707.3
1953;14.3;574.5
1954;14.9;552.9
1955;14.6;693.3
1956;13.5;988.4
1957;14.7;451.4
1958;14.8;575.1
1959;15.4;461.7
1960;14.6;637.4
1961;15.2;534.2
1962;14.5;530.1
1963;15.4;625.8
1964;14.4;639.9
1965;15.1;416.4
1966;14.2;643.9
1967;15.5;244.4
1968;15.5;582.2
1969;15.1;755.5
1970;14.6;728.7
1971;14.8;692.6
1972;15.3;417.9
1973;15.7;692.9
1974;14.9;926.8
1975;15.4;684.8
1976;15.1;486.2
1977;15.3;425.2
1978;15.5;780.6
1979;15.9;418
1980;15.7;488.4
1981;16;528.2
1982;16;297.8
1983;15.8;771.2
1984;14.6;619.6
1985;15.1;587.2
1986;14.6;586.6
1987;15.2;445.4
1988;16.3;668.8
1989;15.2;704.6
1990;16;599.8
1991;16;432.4
1992;14.7;923.2
1993;15.5;718.1
1994;15.4;468.8
1995;15.3;714.4
1996;15;680.8
1997;16.1;406.8
1998;15.9;560.6
1999;15.8;693.4
2000;15.8;653.4
2001;15.9;488.2
2002;16.1;376.8
2003;16.4;450.2
2004;15.8;494.4
2005;16.2;513
2006;16.4;267.2
2007;17;466.4
2008;16;477.4
2009;17.2;361.6
2010;16;1019.2
2011;15.7;721.2
2012;15.4;628.2
2013;16.8;398.2
2014;16.8;478.2
2015;16.4;648
2016;16.7;778.8
2017;16.6;445.3
2018;17;409.4
