"site" "x" "y" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
"102101A" 142.98295 -12.88045 0.127920871077631 0.22156356737394 0.308397540778259 0.222325999193847 0.0434217019256354 0.0146999785420624 0.00813881312221697 0.00451979862295009 0.00227215541821939 0.0014513099162352 0.00333574083711708 0.0419525231918866
"104001A" 143.394 -14.16875 0.13438663145011 0.308397307091369 0.322361686113334 0.158276877776171 0.0201835525767411 0.00495783779905402 0.00179116422194479 0.00045372498123483 0.000186387399174948 0.000480645260799258 0.00485280968418076 0.0436713756458859
"105102A" 144.48375 -15.6133 0.291605135823073 0.364008279707891 0.25559674508027 0.0321694363935601 0.00340569929085231 0.00246294038112223 0.000625259302074675 0.000333383562348287 0.00017445444546605 0.000477854234383591 0.00883976683065352 0.0403010449483047
"105105A" 145.01375 -15.77117 0.139868031509961 0.265461367260785 0.336038568859236 0.152307940670265 0.0368289139922706 0.0167796026401486 0.00976710357798028 0.00543914828430312 0.0034636604041672 0.00151238692211516 0.00380752497851925 0.028725750900249
"107001B" 145.0673 -15.42375 0.135047450975753 0.242941935598464 0.293749649618082 0.183131527105161 0.0544442731545983 0.0213043422174908 0.0124046025012269 0.00766158750133344 0.00432779265289831 0.00263905478704006 0.00876528395830715 0.0335824999296453
"108002A" 145.28186 -16.17875 0.0945349280287812 0.194691740913459 0.258237251832318 0.17940084055 0.074814840492177 0.048471682346435 0.0372439548496291 0.0268446097640963 0.0207115577933442 0.0149288648729618 0.016214899485884 0.0339048290709137
"112002A" 145.90801 -17.56449 0.113111006926478 0.231399291620079 0.201356943535937 0.143503571372718 0.0942158733705268 0.0527361518336367 0.0342402623307393 0.0246803911859686 0.0206427930742256 0.0183246948393037 0.0221741130067717 0.0436149069036154
"112102A" 145.90521 -17.71521 0.116293167116473 0.204294622261659 0.199236855060689 0.148069598332846 0.0908748925003862 0.0529740384894615 0.0352367550035545 0.0274329932194765 0.0239433635916455 0.0240170669323835 0.0290060724716443 0.0486205750197804
"113004A" 145.62875 -17.73961 0.0935052872323084 0.183943509855409 0.193686467799343 0.14698624574602 0.10418708765251 0.069221151071999 0.0525029155213116 0.0389538497372441 0.029572239206496 0.0233227996791291 0.0247261569178289 0.0393922895803996
"116006B" 145.92221 -18.49125 0.143770228911049 0.333752432775691 0.259299073954418 0.0977627362702155 0.0469140383366125 0.0299322806825085 0.0189510184762367 0.0126358308581786 0.00996126104803279 0.00635942421018182 0.00807615463854202 0.0325855198383336
"116010A" 145.5369 -18.2044 0.116383283447415 0.281440212669073 0.237831087967083 0.117060999681545 0.0653962366940864 0.0447833214479831 0.0322380717322736 0.0232097646096303 0.0191065016283612 0.0146297233675624 0.0151505965918002 0.0327702001631863
"116011A" 145.47745 -17.60505 0.100481230864777 0.234714193245562 0.239841258664413 0.12801968730775 0.0836135072419067 0.0582238959607652 0.0424046463579839 0.0316893873054401 0.0218345383744974 0.0145723846521101 0.0137680460509845 0.0308372239738107
"116012A" 145.34199 -18.06449 0.118091800513453 0.337794377440353 0.26849851372883 0.109787761385846 0.051166899958477 0.0330445679275924 0.0199778892546463 0.0138851091902227 0.00953062884277284 0.006690254488609 0.00620751648445892 0.0253246807847391
"116013A" 145.34107 -17.65125 0.109373387491404 0.258044338306522 0.241550386595286 0.12290984374087 0.0772765874199211 0.0498830847471229 0.0368235441031675 0.0264335833868919 0.0179638578677152 0.0121795500463248 0.0124055807973823 0.0351562554973924
"116014A" 145.29875 -17.6266 0.179928146350365 0.347109428241 0.283755079453564 0.0651063785036293 0.0308671503888088 0.0169707053232352 0.0082272362847523 0.0047394451113564 0.00212528040000554 0.00100043337139685 0.0104355549057323 0.0497351616661541
"116015A" 145.43737 -17.73625 0.090124243148926 0.232766475511913 0.239745980648813 0.141749073430869 0.0915790861766039 0.0628933125181541 0.0417397478904016 0.0284542807556893 0.0179620517970625 0.011223767913225 0.0110477714423564 0.030714208765987
"121001A" 148.1159 -20.2891 0.238170140637394 0.347373463797579 0.173754269590222 0.075059375898664 0.0288445405124136 0.0176399676701776 0.0103769124946819 0.00679183453604377 0.00249540514484768 0.00299464278032165 0.0125368307554912 0.0839626161821633
"122004A" 148.54712 -20.30038 0.192135778956453 0.292908139796629 0.217410135882057 0.089972941185707 0.0496136954175591 0.0220368002133207 0.0140507645541703 0.00759522657297452 0.0118585601636193 0.00474905715089421 0.0150451779408701 0.0826237221657458
"126003A" 149.39875 -21.91568 0.260261210635295 0.269135948911741 0.211061550090194 0.0585288647491758 0.0398018528669334 0.0131128437293494 0.00732362232664603 0.00716531423126322 0.00764042497145019 0.00241622485971728 0.0296996603272627 0.093852482300972
"136202D" 152.04378 -26.30122 0.259057802336603 0.215931560301755 0.104934143220703 0.0843765955680032 0.0536389317911952 0.0527210167409703 0.0478249693426848 0.0175263349889886 0.0135829924732522 0.0180594866166477 0.0402519234470514 0.0920942431721449
"136203A" 151.81365 -26.73635 0.189107177816772 0.229544116596189 0.11650042268524 0.0439594362862429 0.0763686379219305 0.0570220155867177 0.0487175767771465 0.0239369292602944 0.0330143546269812 0.0323930590605556 0.0425920312992256 0.106844242082705
"137101A" 152.24085 -25.08665 0.328101997635822 0.212724265620271 0.158804678119461 0.0446614670888884 0.0455555242683387 0.0220623367953642 0.0189033388652245 0.0048619449849403 0.00360687441230573 0.0033198426967528 0.0317701957757645 0.125627533736866
"137201A" 152.36875 -25.26625 0.308651104070644 0.244574555842778 0.149425556295467 0.0406033807625003 0.0460839902942628 0.0197158015276407 0.0232878972771312 0.00565472621094546 0.00578818091808187 0.00483493570787383 0.0338321650038173 0.117547706088857
"138004B" 152.3486 -25.9036 0.251132044452897 0.17253025334805 0.19239297217293 0.0589464266884223 0.0741203554865489 0.0289435561373613 0.0286268781171207 0.0115805490173519 0.0109749878874035 0.0106120235099842 0.0286671278847409 0.131472825297189
"138009A" 152.78382 -26.07875 0.109086457353108 0.19944292784 0.215676648270138 0.139666530071891 0.0863736907022702 0.0687869777456414 0.0438318478835005 0.0394002598295064 0.0193089118657852 0.0119947153483943 0.0160819174954129 0.0503491155943523
"138010A" 152.22125 -26.07941 0.296938085739989 0.159864797952937 0.120814013731091 0.0974069110542063 0.0659800060733667 0.0370528963979848 0.0276250932675178 0.0201987479069883 0.0119241477599348 0.0172278450790225 0.0354870136249972 0.109480441411965
"138113A" 152.64479 -26.38979 0.222203672633389 0.244679173984924 0.129602668384313 0.120458754438658 0.0457287371170889 0.0483782811595484 0.0539969826094598 0.0128723286820684 0.0082733702909764 0.016078064976091 0.0319050031938561 0.0658229625296277
"143009A" 152.40875 -26.99639 0.222262650658532 0.197328477144999 0.10525551739912 0.0836864091427541 0.0551219894319651 0.072893159612954 0.0632262084816699 0.0230671753869761 0.0245577465914767 0.033891154846474 0.0403616512606696 0.0783478600424095
"143110A" 152.51125 -27.82773 0.20852456210361 0.209350745720653 0.0782316140619025 0.0879461195794633 0.0999892744710609 0.0339291038825221 0.0295940086540719 0.0102578639549656 0.00766131909510014 0.0292451704298686 0.0719193173146322 0.13335090073215
"143303A" 152.8403 -26.83875 0.143729947608068 0.197917334400939 0.195687037912239 0.105513082056942 0.0830532206757453 0.0706600817453125 0.0528161600310369 0.021727384400063 0.017943641150038 0.0245364048050475 0.0299321540205047 0.0564835511940646
"145010A" 152.89125 -28.24625 0.121127322308017 0.181735276557877 0.157896895734776 0.11309029660611 0.0938842394495995 0.0905615836030859 0.0583230327991015 0.0303645142914061 0.0256276564501374 0.0316452786472221 0.0327224292610262 0.0630214742916416
"145011A" 152.57125 -28.14799 0.203765018366447 0.24023427008119 0.0987643294982818 0.0745228135044085 0.0699138504449581 0.0416050798601957 0.0359725918805373 0.0166453733580742 0.0123718732615601 0.0355927501083592 0.0642014934203518 0.106410556215637
"145018A" 152.60839 -28.21911 0.175429946110505 0.206212285512535 0.127889740260886 0.113304643228431 0.0856007119531219 0.0535141125174102 0.0443927629931281 0.0173603777364778 0.0153265788900901 0.0309640243726347 0.0391052351364121 0.0908995812883677
"145101D" 153.04547 -28.05297 0.14264921267809 0.177830834516197 0.139284638996905 0.118102558800396 0.106334954371299 0.0737488574772121 0.0612366696873289 0.0228958312954801 0.0201679680976018 0.0326000280634623 0.0428226268895369 0.0623258191264909
"145107A" 153.15875 -27.99625 0.160054404405709 0.164903841277704 0.13791808855749 0.13082023754317 0.115280770423962 0.0672326108902565 0.0525300279893868 0.0250047544052677 0.0207162978126248 0.0229794249837449 0.0376024769030087 0.0649570648076755
"146012A" 153.42301 -28.17875 0.138547443220898 0.183246452520673 0.158125648473979 0.125305933161782 0.0959039897899795 0.072349433610595 0.0514544743019234 0.0227975722218646 0.0190196239379918 0.0318622420784409 0.0392302689623253 0.0621569177195463
"146095A" 153.40375 -28.14922 0.151528517539526 0.19090066339899 0.16179413074932 0.130415240581837 0.107719422759359 0.0591291321529039 0.0405534815234555 0.0156070091030668 0.0136582866101496 0.0268621322971886 0.0323212561892698 0.0695107270949351
"204034" 152.214 -29.7635 0.180914784821502 0.19274540656236 0.14873017273605 0.101691724105596 0.0888365754118679 0.0411869014360606 0.0404846756187143 0.0296207386299403 0.0252041466038378 0.0323933015624974 0.0521317653003292 0.0660598072112437
"206014" 152.02886 -30.47636 0.167171314603485 0.199974926779397 0.0836702134921716 0.0587973523759287 0.0800165666735301 0.0675380341701926 0.0658941330399365 0.0425793672343336 0.0383090398430804 0.042768638676297 0.0850825208160277 0.0681978922956197
"206018" 151.76625 -31.05125 0.155990344620556 0.102487834650806 0.0485688611385818 0.0277095558125475 0.0701883384847403 0.0620944370293811 0.0887723532740246 0.113080054376008 0.0908762040610036 0.068428465002447 0.109735464540153 0.0620680870097514
"208007" 151.71625 -31.51625 0.0891228537842955 0.142271265063949 0.129705022866969 0.0950984352710558 0.0920121105874868 0.094527442130953 0.0716455675910043 0.0657045952433741 0.0496100195496335 0.0573125677862566 0.0663312211140707 0.0466588990109513
"208009" 151.31495 -31.57995 0.0850292760285755 0.106065266631243 0.0641553748649144 0.0503845927910727 0.0624755208872284 0.0815614137308859 0.109470390240535 0.110408275016561 0.0911356346060575 0.086938841992334 0.083877077079661 0.0684983361309322
"210006" 150.10136 -32.34364 0.107516964131043 0.119300985957952 0.108421677554264 0.0524316307345843 0.0619132312291459 0.117970513585225 0.0935248430617334 0.0854470531486107 0.0544818370265036 0.0647555433567731 0.0598487676255838 0.07438695258858
"210011" 151.68805 -32.31945 0.115151480753947 0.1667339887099 0.174768267511648 0.094260817736146 0.083005724745639 0.0961709889422175 0.0424220093012168 0.0489268798541729 0.0353577459877921 0.0483355863368818 0.0505776239758129 0.0442888861446258
"211008" 151.47035 -33.07215 0.0976874516498533 0.159871191443817 0.162750086770546 0.10393175696248 0.0933223021875094 0.133916044759871 0.0482603929740988 0.0395118775729526 0.0296031797671532 0.0393260800823948 0.0535930308674401 0.0382266049618835
"212209" 150.53375 -34.47651 0.0545046478534846 0.0706781677151537 0.0894185732507727 0.104910412543101 0.0844098029558028 0.128631938818094 0.0800421233071447 0.114881543414478 0.0761590703714024 0.077526115697626 0.0607530362308634 0.0580845678420771
"212260" 150.24375 -33.94734 0.0704093586539983 0.096403435686971 0.106238806202036 0.099693959482607 0.0741871038055163 0.100776865614342 0.0875121837741747 0.116366469456094 0.0717147714389697 0.0624909685863432 0.0668169398126485 0.0473891374863004
"215002" 149.7393 -35.3407 0.0440772592094096 0.0819683825731724 0.124808091616197 0.0796941651195911 0.0631401298564711 0.142391106754848 0.0728528150309205 0.107492907692428 0.0618524250348929 0.0901366776747185 0.0690491518702831 0.0625368875670684
"215207" 150.1833 -34.8217 0.040734466001496 0.0580977058949085 0.0954758833693566 0.0800899259375019 0.0749967942058004 0.164949003087439 0.111904419763921 0.124263482020023 0.0725890527160929 0.0603832754038534 0.0584161166649227 0.0580998749346843
"216004" 150.598 -34.9705 0.0267370703308849 0.105139376789736 0.147367897857565 0.103177666693216 0.0661142460811001 0.155200088179046 0.0710233472325528 0.10568679509348 0.0461730536911837 0.0767283177302352 0.0551311303308677 0.0415210099901324
"218001" 149.51035 -36.26465 0.0415187070207805 0.0758350434119226 0.116138228126555 0.0857630318655835 0.0789069136038314 0.156855709030981 0.0879663123475602 0.0770965622404862 0.0623805152411479 0.0757570200320666 0.0638641014717853 0.0779178556072991
"219001" 149.44185 -36.59315 0.0523266258130862 0.0866539326245605 0.104565014606272 0.087329239948559 0.0789597655816625 0.119884679633171 0.0900511583670296 0.0819146892637542 0.0696755436211555 0.0774202227164746 0.0797061096121403 0.0715130182121345
"221207" 148.91375 -37.44713 0.0531466579421906 0.0430600152099486 0.0502703155966004 0.0612932865008468 0.0631626031863544 0.145417613249332 0.111415217196513 0.094505621005934 0.102345360053328 0.0968599885586406 0.094990352340534 0.0835329691597769
"221210" 149.51949 -37.41699 0.0195189064517994 0.0237176524345494 0.0746460894918401 0.068661812899661 0.0707375089783731 0.23794999492453 0.13535453934524 0.0611220785814034 0.0747931079262655 0.0826224991452962 0.092572094106525 0.058303715714517
"222206" 148.17458 -37.49458 0.0347073969174382 0.0384752810717345 0.0316989504857845 0.0347492373439423 0.053754366830316 0.11572364906994 0.109063927452696 0.11604969882825 0.138187514498236 0.131837469438923 0.112910777390369 0.0828417306723695
"222213" 148.32674 -36.95424 0.0381833592090223 0.039861931077521 0.0449911956178578 0.0381736930022241 0.0453437302633439 0.0827975006099676 0.104467203107382 0.130031340980046 0.148596208191262 0.13838837904559 0.109939609591185 0.0792258493045984
"223202" 147.72875 -37.26772 0.038071864600197 0.0303343095342429 0.0270915868870654 0.0255542721890465 0.0492017749078839 0.111441594320911 0.106752178488069 0.124247422181122 0.146106435401525 0.137206536350104 0.114249980354049 0.0897420447857845
"224206" 147.08875 -37.40625 0.0233788576723035 0.0178805601193747 0.0144128368718906 0.0214861288593574 0.0394076837269496 0.0939674252504255 0.138503129488032 0.179147909332779 0.189242031684174 0.142340377764991 0.0831409167665255 0.0570921424631971
"224213A" 147.27125 -37.49375 0.02573600126459 0.0172554288122111 0.0208421442109961 0.0259962026312094 0.0421417663365566 0.103360837802146 0.12631266714597 0.14788513992661 0.187469294997819 0.153358893149825 0.0876720881185339 0.0619695356035336
"224214A" 147.39293 -37.49457 0.0417408079710374 0.0346694919299677 0.0423377696915593 0.0597123822411454 0.0349500612350941 0.175303753644989 0.109289844933802 0.093719199158018 0.108353387476992 0.122031786070138 0.0943890770146625 0.0835024386325948
"225020A" 146.35427 -37.83323 0.0507262947203835 0.0408959131079308 0.0391598691504497 0.0535314041280932 0.0686528604414089 0.0968681540624727 0.0878424702939099 0.108616180161981 0.143432329610865 0.131947668444877 0.0997585924677687 0.0785682634098601
"225219" 146.56625 -37.5161 0.0171098315282513 0.0140487309759369 0.0111942624583938 0.0188236178010485 0.0416502560110513 0.095516754486061 0.133260713124988 0.179421795273359 0.210146191761225 0.153237712861272 0.079090786824708 0.0464993468937054
"226220" 146.00652 -37.86651 0.0569644070431239 0.0475881579904047 0.0438962248312751 0.0516456590467264 0.0664571584381979 0.084778301440464 0.102083943980519 0.122610740388171 0.132746622215016 0.115914460007366 0.0985634608665496 0.0767508637521853
"226222" 145.89301 -37.88125 0.0698810960324788 0.0642207929496082 0.0589457977902854 0.0651135707368178 0.0711407386297618 0.0846603369396908 0.0915161737285198 0.102522544784306 0.106159940410839 0.101962655289965 0.0982840443550598 0.0855923083526682
"226407" 146.30493 -38.40743 0.0317462314863581 0.0269034412707714 0.0247051282555113 0.0489952215701002 0.0625886129600521 0.120208611946334 0.140925046036004 0.148096896005471 0.152997825361471 0.110428964606949 0.0801216005194126 0.0522824199815652
"227225A" 146.55511 -38.46875 0.0556209469346879 0.0459314086268644 0.0457475454273508 0.055047408409247 0.0597813704466373 0.121562920138916 0.103218604777397 0.101165774563837 0.121985304060318 0.10178483950451 0.110039235783008 0.0781146413272271
"227226" 146.16058 -38.49941 0.0185247524117267 0.0151814706315957 0.0143374138881742 0.0366121353033906 0.0585340545879085 0.133013800244872 0.16414111568244 0.169745316164641 0.1617645525223 0.111185447591635 0.0756404988102205 0.0413194421610959
"227227" 145.95735 -38.39375 0.00855348115954787 0.0401310910083989 0.0214223998803347 0.0250575661337871 0.0509181136105139 0.12604880777839 0.170343685844469 0.190627474603713 0.169602743054551 0.107928813998554 0.0592698426445678 0.0300959802831719
"229650A" 145.94125 -37.72142 0.0486062243956243 0.0359520779039163 0.0279884162596952 0.0305656025445357 0.0354862914594795 0.0720254868850883 0.115341068673704 0.145837680732016 0.159259829079298 0.134608946357337 0.118981840284825 0.07534653542448
"229661A" 145.9268 -37.63375 0.0382258531181642 0.0263548145046702 0.0207140163167001 0.0232622820622655 0.0268271850961096 0.0618711041377531 0.117100677759653 0.185099037774498 0.199270996249479 0.139878832847932 0.100671982333195 0.060723217799579
"230210" 144.5243 -37.47181 0.0406664786586335 0.0282353445660506 0.00617085987048007 0.0145906868820816 0.0301120829379643 0.0543658037393627 0.10768332839568 0.157113199238622 0.198008805409143 0.188934920948706 0.127783060845839 0.046335428507437
"231213" 144.36125 -37.49655 0.0209768563807859 0.0156816521318657 0.00486427071419033 0.0101434746795299 0.0352256317988228 0.0717323615969765 0.148712450438613 0.193255637868331 0.203168107881051 0.165466520572066 0.0922276519860044 0.0385453839517629
"235205" 143.44375 -38.63824 0.0340998461291465 0.0282985577056375 0.0190534106554685 0.0330877775994657 0.0631036046562262 0.110195653868621 0.155304004068429 0.175255537055873 0.14320525490018 0.108203390683928 0.0789134579850305 0.0512795046919939
"236213" 143.46637 -37.53113 0.0637051558312987 0.0193478066060133 0.000754149719295403 0.0024479074397584 0.0111419058341669 0.0350901246356306 0.121160648841117 0.227031661047314 0.272948667382689 0.180474599217272 0.0444749785877674 0.0214223948576772
"238208" 142.50816 -37.37375 0.0396512211798023 0.018104992305019 0.017428139998385 0.0199463641472364 0.0496352541922576 0.0736128431801058 0.12591118164343 0.190492590343831 0.175417119487669 0.140109936191556 0.0932175270315329 0.056472830299176
"302214" 148.21625 -41.04709 0.0844191669305644 0.0194672462698046 0.0270406504663317 0.0585468040848708 0.0673708027568132 0.0768246926567116 0.147873041174994 0.181383689576846 0.121683875355578 0.082674637389601 0.05286588993424 0.0798495034036442
